==============================================================================================================
  RANKING | 2026-09-16 01:22:18
  Окно бэктеста: 30 дней | Всего комбинаций: 682
==============================================================================================================
  #    Symbol          K    SL    TP     Profit     PF      MDD   WinR  Sharpe  Recov   Score    Top
--------------------------------------------------------------------------------------------------------------
  214  USDJPYrfd      28   700   300     +95.6  1.05 +1689.5  75.0%   0.02   0.1  0.279       
  215  NZDUSDrfd      21  1100   300    +121.3  1.07 +1011.2  63.2%   0.02   0.1  0.275       
  216  EURUSDrfd      28   500   700     +96.1  1.06  +886.5  68.8%   0.02   0.1  0.273       
  217  NZDUSDrfd      21   900   700    +118.8  1.08  +900.0  61.1%   0.03   0.1  0.273       
  218  NZDUSDrfd      21  1200   500    +110.4  1.06 +1152.7  61.1%   0.02   0.1  0.266       
  219  USDJPYrfd      14   700   300     +83.7  1.03 +2027.9  71.0%   0.01   0.0  0.266       
  220  USDJPYrfd      28  1100   700    +120.1  1.04 +2791.7  60.0%   0.02   0.0  0.264       
  221  NZDUSDrfd      21   500   500    +123.0  1.06  +562.9  55.0%   0.02   0.2  0.264       
  222  USDJPYrfd       7  1100   300     +87.5  1.03 +1556.9  68.4%   0.01   0.1  0.263       
  223  AUDUSDrfd      14   700   500     +80.1  1.04  +864.6  66.7%   0.02   0.1  0.261       
  224  EURUSDrfd      21   700  1200     +44.7  1.02  +765.1  72.2%   0.01   0.1  0.253       
  225  NZDUSDrfd      28   500   700     +87.6  1.04  +966.5  58.8%   0.02   0.1  0.252       
  226  USDCHFrfd      28   500   500     +90.6  1.03 +1645.5  57.9%   0.01   0.1  0.249       
  227  EURUSDrfd      21   900  1200     +39.6  1.02  +776.1  68.8%   0.01   0.1  0.246       
  228  USDCADrfd      14   500   300     +86.6  1.04  +803.8  53.8%   0.02   0.1  0.244       
  229  USDCHFrfd      21   900   500     +40.1  1.01 +1474.7  65.2%   0.00   0.0  0.239       
  230  EURUSDrfd      21   500   900     +27.0  1.01  +760.1  66.7%   0.01   0.0  0.237       
  231  NZDUSDrfd      21  1200   300     +37.1  1.02 +1095.4  63.2%   0.01   0.0  0.236       
  232  USDCHFrfd      21  1100   500     +19.6  1.01 +1680.5  68.2%   0.00   0.0  0.235       
  233  NZDUSDrfd      28   900   700     +10.1  1.01 +1197.4  66.7%   0.00   0.0  0.229       
  234  EURUSDrfd      21   500   300      -9.3  1.00  +815.7  70.0%  -0.00  -0.0  0.226       
  235  EURUSDrfd      21   700  1100     -39.6  0.98  +765.1  72.2%  -0.01  -0.1  0.216       
  236  EURUSDrfd      28   300   900      +0.0  1.00  +811.5  60.0%   0.00   0.0  0.215       
  237  USDJPYrfd      14   900   300     -38.6  0.99 +2150.2  70.4%  -0.01  -0.0  0.215       
  238  AUDUSDrfd      28   500   700     -45.5  0.97  +671.6  72.2%  -0.01  -0.1  0.211       
  239  NZDUSDrfd      28   500   500     -10.1  1.00  +886.5  58.8%  -0.00  -0.0  0.209       
  240  EURUSDrfd      21   900  1100     -44.7  0.98  +776.1  68.8%  -0.01  -0.1  0.208       
  241  GBPUSDrfd      28   500   300      -1.7  1.00 +1304.4  55.0%  -0.00  -0.0  0.207       
  242  USDCHFrfd      28   300  1200     +13.4  1.00 +1763.8  50.0%   0.00   0.0  0.205       
  243  EURUSDrfd      14  1100   900      -4.2  1.00  +675.0  52.6%  -0.00  -0.0  0.202       
  244  EURUSDrfd      14  1100  1100     -17.7  0.99  +675.0  52.6%  -0.00  -0.0  0.196       
  245  EURUSDrfd      14  1100   700     -17.7  0.99  +675.0  52.6%  -0.00  -0.0  0.196       
  246  NZDUSDrfd      21   500   300     -34.5  0.98  +642.1  57.1%  -0.01  -0.1  0.195       
  247  USDCHFrfd      28   500  1200     -34.0  0.99 +1944.9  55.6%  -0.00  -0.0  0.194       
  248  NZDUSDrfd      21  1100   700     -49.7  0.97 +1068.5  61.1%  -0.01  -0.0  0.194       
  249  USDCHFrfd      21  1200   500     -83.4  0.97 +1783.4  68.2%  -0.01  -0.0  0.193       
  250  NZDUSDrfd      28   900   300     -82.6  0.96 +1198.2  68.8%  -0.02  -0.1  0.192       
  251  EURUSDrfd      28   300   500     -72.5  0.97  +811.5  59.1%  -0.01  -0.1  0.182       
  252  EURUSDrfd      14   500   900     -52.2  0.97  +826.6  52.4%  -0.01  -0.1  0.180       
  253  NZDUSDrfd      28   300   700     -54.8  0.98 +1277.5  52.4%  -0.01  -0.0  0.180       
  254  EURUSDrfd      21   300  1200     -71.6  0.97  +814.8  56.0%  -0.01  -0.1  0.178       
  255  GBPUSDrfd      28   900   300     -71.6  0.97 +1374.4  55.6%  -0.01  -0.1  0.177       
  256  USDJPYrfd      28  1200   700     -97.2  0.97 +3009.0  60.0%  -0.01  -0.0  0.176       
  257  USDJPYrfd       7  1200   300    -129.8  0.96 +1774.2  68.4%  -0.01  -0.1  0.175       
  258  EURUSDrfd      14   500  1100     -65.7  0.97  +826.6  52.4%  -0.01  -0.1  0.174       
  259  EURUSDrfd      14   500   700     -65.7  0.97  +826.6  52.4%  -0.01  -0.1  0.174       
